ID,date,lights,t1,rh_1,t2,rh_2,t3,rh_3,t4,rh_4,t5,rh_5,t6,rh_6,t7,rh_7,t8,rh_8,t9,rh_9,t_out,press_mm_hg,rh_out,windspeed,visibility,tdewpoint,rv1,rv2,appliances
19730,5/27/16 17:20,0,25.56666667,46.56,25.89,42.02571429,27.2,41.16333333,24.7,45.59,23.2,52.4,24.79666667,1,24.5,44.5,24.7,50.074,23.2,46.79,22.73333333,755.2,55.66666667,3.333333333,23.66666667,13.33333333,43.09681187,43.09681187,4.605170186
3288,2/3/16 13:00,0,22.5,44.43,21.53333333,42.59,21.96333333,44.555,22,40.46666667,19.1,55.32666667,6.53,61.46333333,19.29,34.32,20.56666667,41.33111111,18.6,45.53,6.6,760.2,64,8,40,0.2,42.05465898,42.05465898,4.248495242
425,1/14/16 15:50,0,21.53333333,40,21.075,38.9975,21.32333333,41.43333333,18.76,42.36333333,17.1,53.5,5.366666667,85.53,17.39,37.9,17.89,44.7,17.1,44.96666667,5.416666667,747.5666667,79.83333333,6,40,2.166666667,20.28817912,20.28817912,3.688879454
10277,3/23/16 1:50,0,22.29,38.79,19.5,42.09,22.29,37.9,20.92666667,37.09,20.39,43.26,6,65.22666667,19.89,37.36333333,22.89,42.82666667,19.79,40.7,5.433333333,755.9333333,94.66666667,2,62,4.583333333,47.77125986,47.77125986,4.094344562
15028,4/25/16 1:40,0,21.29,35.245,18.1,39.09,22.7,35,21,32.856,20.23,42.9,1.863333333,51.7,21.72571429,33.7,24.5,40.83333333,20.2,37.93333333,1.333333333,757.8,95,2,30,0.6,41.47443415,41.47443415,4.094344562
14374,4/20/16 12:40,0,21.96333333,36.73,23.7,31.7,22.1,37.03,22.79,34.572,19.7,42.16333333,13.5,1,20.64,28.89,21.32333333,36.52666667,20.2,37.32666667,11.76666667,767.3,56,6,26.66666667,3.266666667,23.13608382,23.13608382,3.912023005
8530,3/10/16 22:40,0,22,37.63333333,19.5,40.03,21.2,37.59,21.06666667,33.9,19.06666667,46.99666667,2.7,52.53,19.7,32.13333333,22.1,38.32666667,18.1,39.36333333,3.166666667,762.5,81.33333333,1.333333333,61.66666667,0.3,12.26874675,12.26874675,4.094344562
1282,1/20/16 14:40,0,17.7,36.16333333,16.7,36.56,18.13333333,37.32666667,16.6,35.79,16.47555556,53.22722222,2.2,97,16.38444444,30.7,19.6,40.505,15.8,36.09,0.5,760.3,80.33333333,2,62,-2.533333333,18.33728404,18.33728404,3.912023005
13478,4/14/16 7:20,20,21.29,41.76,18.2,46.63333333,22.89,38.59,21.42666667,38.69333333,20.39,46.36,4.123333333,59.09666667,20.6,33.96666667,22.29,42.22333333,20.29,43.29666667,1.6,754.0333333,100,1,3.333333333,1.6,13.17679218,13.17679218,4.382026635
8542,3/11/16 0:40,0,21.39,37.66333333,18.53333333,39.9,21.1,37.82666667,20.6,33.7,18.29,51.59,1.966666667,59.33333333,19.7,34.29,21.7,40.99,18.1,40.09,1.8,763,84.33333333,1,60.66666667,-0.566666667,1.224107668,1.224107668,3.912023005
